finding_id	source_record	current_record	disposition	current_identifier	reason	evidence
SEM:6560d5e8cbc982dcbd1d	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	IDENTITY_CORRECTED	kgmicrobe.ingredient:05_m_nitrilotriacetic_acid_disodium_salt	Separate the 0.5 M disodium stock from trisodium nitrilotriacetate. Source occurrence rows explicitly name one of each. Restore the trisodium substance as its own record, carrying its chemistry and valid synonyms; withdraw those synonyms on the stock. The stock is a local preparation with a named disodium solute, no pure-substance formula or CAS. Solvent and complete recipe are not established.	https://www.ebi.ac.uk/chebi/CHEBI:132766 ; https://www.ncbi.nlm.nih.gov/books/NBK519184/ ; ../CultureMech/output/ingredient_occurrences.tsv
SEM:041e44760b57510920e6	data/ingredients/mapped/1122-Tetrachloroethane.yaml	data/ingredients/unmapped/1122-Tetrachloroethane.yaml	WITHDRAWN_PENDING_SOURCE	UNMAPPED_0785	Reverse unsupported comma-tail reconstruction. Both 1,1,1,2- and 1,1,2,2-tetrachloroethane can yield this fragment. Original source locants are required.	https://www.ebi.ac.uk/chebi/CHEBI:34024 ; https://www.ebi.ac.uk/chebi/CHEBI:36026 ; MAPPING_SEMANTICS.md
SEM:942e5e5ab8031b0237df	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	IDENTITY_CORRECTED	kgmicrobe.compound:2-keto-d-gluconic_acid_hemicalcium_salt_monohydrate	Refine the prior blocker: MP Biomedicals explicitly uses CAS 3470-37-9 for the monohydrate, while the same CAS is used for unhydrated calcium salt. Use a distinct local hydrate identity and preserve the supplier CAS as procurement metadata rather than exact global identity. Withdraw anhydrous CID/SMILES/InChI. Formula follows the certificate hemicalcium unit plus one water, doubled to whole calcium stoichiometry. Existing close match to free acid retained as reviewed in #342, not promoted to subsumption.	https://www.mpbio.com/media/document/infor/S/1/1/1/0/100365-S1110.PDF ; https://www.caymanchem.com/product/35622/2-keto-d-gluconic-acid-calcium-salt
SEM:375d53fc7b7ef4e7ce71	data/ingredients/mapped/2-dimethylsuccinic_Acid.yaml	data/ingredients/unmapped/2-dimethylsuccinic_Acid.yaml	WITHDRAWN_PENDING_SOURCE	UNMAPPED_0696	Withdraw unproved 2,3-isomer identity. Two methyl groups can occupy carbon 2 (2,2-dimethylsuccinic acid); the incomplete source name does not establish 2,3 substitution.	https://www.ebi.ac.uk/chebi/CHEBI:86537 ; https://www.ebi.ac.uk/chebi/CHEBI:167506
SEM:620089b33811e495367b	data/ingredients/mapped/Apigenin_Dimethyl_Ether.yaml	data/ingredients/mapped/Apigenin_Dimethyl_Ether.yaml	IDENTITY_CORRECTED	CHEBI:2769	Resolve the stated Apigenin Dimethyl Ether name to the explicit ChEBI/KEGG synonym of apigenin 7,4-prime-dimethyl ether. Correct CAS 5128-44-9 differs from imported 5728-44-9, which produced unrelated benzoic-acid chemistry. Withdraw methoxymethane CHEBI:28887 and reject its synonym; replace the wrong molecular formula, structure and CID from ChEBI and PubChem.	https://www.ebi.ac.uk/chebi/CHEBI:2769 ; https://pubchem.ncbi.nlm.nih.gov/compound/5281601
SEM:5efa69d40115ca620297	data/ingredients/mapped/Arabinoxylan_Rye_Flour.yaml	data/ingredients/mapped/Arabinoxylan_Rye_Flour.yaml	IDENTITY_CORRECTED	kgmicrobe.ingredient:arabinoxylan_rye_flour	The named rye-derived arabinoxylan material is not rye flour FOODON:03302492. A manufacturer uses exactly this name for an arabinoxylan preparation with residual protein/ash. Retain a local material identity, without asserting procurement from that supplier, exact purity, or whole-mixture equivalence to pure polymer.	https://www.megazyme.com/arabinoxylan-rye-flour
SEM:fb6a2a282bb4802d07fc	data/ingredients/mapped/Artepaulin.yaml	data/ingredients/unmapped/Artepaulin.yaml	WITHDRAWN_PENDING_SOURCE	UNMAPPED_0819	Withdraw conflicting CAS 13902-54-0 identity rather than guessing a stereoisomer from a name hit. Prior reviewed PubChem CAS/name queries disagree; source supplier or original structure is needed. Historical mapping and chemistry remain in the before snapshot and curation history.	reports/yaml_record_review/Artepaulin.md ; https://pubchem.ncbi.nlm.nih.gov/compound/10977881 ; https://pubchem.ncbi.nlm.nih.gov/compound/325292
SEM:f2a2df4244340a9a85e8	data/ingredients/mapped/Artificial_Sea_Salt.yaml	data/ingredients/mapped/Artificial_Sea_Salt.yaml	IDENTITY_CORRECTED	kgmicrobe.ingredient:artificial_sea_salt	The source is an artificial sea-salt preparation, not natural evaporated sea salt. Replace lexical MICRO:0001647 identity with a local preparation identity; no composition is invented.	https://mediadive.dsmz.de/ingredients/2146
SEM:f7b51d23ab90bda7153b	data/ingredients/mapped/Atrazin.yaml	data/ingredients/mapped/Atrazin.yaml	IDENTITY_CORRECTED	CHEBI:15930	Merged into CHEBI:15930 (2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine). Atrazin is the atrazine name variant. Correct CAS is 1912-24-9; imported 1924-24-9 was erroneous. Survivor already has the exact atrazine ontology identity. Original fields remain only on this excluded tombstone.	https://www.ebi.ac.uk/chebi/CHEBI:15930
SEM:fe4c487726dcd2732ce4	data/ingredients/mapped/Benzylhydrazine_Hydrochloride.yaml	data/ingredients/mapped/Benzylhydrazine_Hydrochloride.yaml	IDENTITY_CORRECTED	cas:1073-62-7	Curate the stated benzylhydrazine hydrochloride identity using the manufacturer certificate: CAS 1073-62-7, C7H10N2.ClH. Withdraw benzylamine hydrochloride CAS 3287-99-8, CID 2724127 and one-nitrogen structure. No unverified replacement structure or PubChem CID is asserted.	https://store.apolloscientific.co.uk/storage/coas/OR5636_TypicalCofA.pdf
