source_record	record_sha256	identifier	preferred_term	mapping_status	prior_verdict	verdict	basis	baseline_commit	baseline_git_blob	review_report	report_sha256	finding_ids
data/ingredients/mapped/(-)-anisomycin.yaml	1d17b747ec926d550c6ea98666bcb3cf10a1e575dcfc837f9d94396d561b904a	CHEBI:338412	(-)-anisomycin	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	334dc40a29f7bfd71e6277865cb9b950ae459211	reports/yaml_record_review/(-)-anisomycin.md	a70bfbf70757d531680095840ba1e61669eeed6c8ea5612777a434f810760116	"[""SEM:0e49eb925791f642813d""]"
data/ingredients/mapped/(-)-quinic_Acid.yaml	9c9368ef44de08cbd59138916d2a120db321b5bddd69b8610a66f140d0d3898a	CHEBI:17521	(-)-quinic Acid	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	0653287a4ed690311d49b4e94e7d736af58bb2af	reports/yaml_record_review/(-)-quinic_Acid.md	dabcd3f987579030e8dbc07cdd3d36f9125f5318ba032c92e50e864503d0ebd8	"[""SEM:7e36d71b348836ecccec""]"
data/ingredients/mapped/(2)-D-lyxose.yaml	62258c9bdabaf8728fafb6923345fe4b24b9956069113896acb16e9631c1451e	CHEBI:62318	D-lyxose	MAPPED	needs_curation	needs_curation	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	2bca75491daeff9ed2540a7c25e5d195aed92c1c	reports/yaml_record_review/(2)-D-lyxose.md	3a05386e5da75aed7995c2b4abde4f49fae43b92ce0b8c61db514f28afabc1e8	"[""SEM:cd74f8ddafa04d7e9a9a""]"
data/ingredients/mapped/(R)-amygdalin.yaml	9f6e3cb70cbde2c2f3d0352b23bde746980d76be60857207d9447016a3d9f574	CHEBI:17019	(R)-amygdalin	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	b1e90bbaf9774e4f6471318dfb7bbb8646c2872c	reports/yaml_record_review/(R)-amygdalin.md	a629e40cddf23d146d3eca6be468678fc34e142beb757848f519cedd7d759bf6	"[""SEM:c4aa94f8cc2420c04b3c""]"
data/ingredients/mapped/(R)-lactate.yaml	5ecdb54c8474811127e8bb01b8d7753004065329b1574864c8140d635c6ae93d	CHEBI:16004	(R)-lactate	MAPPED	needs_curation	needs_curation	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	54151b45b9965b7a62346b452d6b073f8429a9cd	reports/yaml_record_review/(R)-lactate.md	09df8c53863c10b037f17d00098ced3fce5d27b68b68cf8fb5bb3eb79591330f	"[""SEM:c34d7b8854b455ca38bf""]"
data/ingredients/mapped/(R)-malic_Acid.yaml	0a7229be6c0bd446df2b2130a644881be47e2a021194b732e1855e5703270f89	CHEBI:30796	(R)-malic Acid	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	7259779afb5d340d002ce057545d12786f8db50a	reports/yaml_record_review/(R)-malic_Acid.md	e67be7f2087b8fca529ec954a81dba39084fbf2db0b3e8327f28e98553a9cb96	"[""SEM:b1740e477e1ac6c163b4""]"
data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	8e26520c847b822c596a5cc3bf6206fac862adf5a1e2b4b2ed3d6d80ebdab792	CHEBI:6198	(S)-azetidine-2-carboxylic Acid	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	c80d5e07b2203bd83eb5a9e10c9584166741ce99	reports/yaml_record_review/(S)-azetidine-2-carboxylic_Acid.md	07224c39da1d2dfe40a7a891718d4801e5941b71050c43fd804a321503d443b7	"[""SEM:eb55833288c00d2fd411""]"
data/ingredients/mapped/(S)-mandelic_Acid.yaml	23414e994a265c4df0b025da1907547eebd137cbd4102e0b9e99035ffb2c70af	CHEBI:32800	(S)-mandelic Acid	MAPPED	pass_with_minor_issues	pass_with_minor_issues	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	dc3201401e0b42ae5cebc1daf4e80871dcdc7ee4	reports/yaml_record_review/(S)-mandelic_Acid.md	88ae296351fb1c2f026693bed9cd1623ccaa1461b52ea0a1c5057402dd39f0df	"[""SEM:0252332dafddeea4d62a""]"
data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	7eece9fb547e213646a2313b9f9bb8f5988f0d13e08d53b2255a33b43f8a659f	kgmicrobe.ingredient:0_2_thiamine_pyrophosphate	0.2% Thiamine pyrophosphate	MAPPED	needs_curation	needs_curation	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	0d753554dcf0ff09d0fb303dfe01d9f9d9ec914a	reports/yaml_record_review/02_Thiamine_Pyrophosphate.md	8fcd68e8822c922beecc2ae4814c512659b6db519e8216d64783a048258aeaf4	"[""SEM:2aea231c7d6192be09fe""]"
data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	9534e4229546828c3f4f2dd48ae759dd32aa9e6f7b8a084cd929699a98b08790	CHEBI:132766	0.5 M Nitrilotriacetic acid, disodium salt	MAPPED	needs_curation	needs_curation	unchanged_source_with_existing_semantic_review	44093d6e5275b7965e55f8bc01457c3a7a736692	bd7278d48054c1627f96d073693dd222cd222368	reports/yaml_record_review/05_M_Nitrilotriacetic_Acid_Disodium_Salt.md	3c903f24df319eefa203b2e5fbfcacba2d5b6622483b3b4026e223fbb3edff18	"[""SEM:6560d5e8cbc982dcbd1d""]"
