finding_id	source_record	record_scope	kind	severity	affected_unit	disposition	reason	evidence
SEM:f0b96f127101596a4c9d	data/ingredients/mapped/1-butanolCO2.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-butanolCO2.yaml	open	Decomposition to local fallback with butan-1-ol and carbon dioxide components passes, but current notes still contain stale pre-resolution text.	reports/yaml_record_review/1-butanolCO2.md
SEM:27d07503a861df75e6fc	data/ingredients/mapped/2-butanolCO2.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-butanolCO2.yaml	open	Local two-component fallback identity, component partonomy, SSSOM, and aggregate pass, but top-level and mapping-evidence notes still describe the older unresolved split.	reports/yaml_record_review/2-butanolCO2.md
SEM:c6070bbe68b895aef456	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix_Minus_Iron.yaml	active	existing_record_review	major	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix_Minus_Iron.yaml	open	The local ATCC Wolfe's mineral mix minus iron identity is intentionally a stock solution, but the component recipe is still absent after promotion to MAPPED.	reports/yaml_record_review/ATCC_Wolfes_Mineral_Mix_Minus_Iron.md
SEM:4229220015557e58514f	data/ingredients/mapped/A_Trace_Components.yaml	active	existing_record_review	major	data/ingredients/mapped/A_Trace_Components.yaml	open	The local trace-component stock identity is intentionally a fallback kg-microbe ingredient, but the component recipe is absent and the only raw synonym includes a sterilization instruction.	reports/yaml_record_review/A_Trace_Components.md
SEM:cddedeffc2f33a2b9cad	data/ingredients/mapped/Adenine_Hydrochloride_Hydrate.yaml	active	existing_record_review	major	data/ingredients/mapped/Adenine_Hydrochloride_Hydrate.yaml	open	The CAS registry identity and CHEBI:16708 close match pass, but the hydrate state still needs source support because CAS/PubChem structure lacks a water component.	reports/yaml_record_review/Adenine_Hydrochloride_Hydrate.md
SEM:c7c67701e68c214a9e61	data/ingredients/mapped/Algal_Trace_Elements_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Algal_Trace_Elements_Solution.yaml	open	The MICRO term resolves, but Algal and WC trace-elements solutions share the same generic MICRO:0000455 exact identity and this stock solution needs its own exact ID and components.	reports/yaml_record_review/Algal_Trace_Elements_Solution.md
SEM:050214a3e599f0ec6ddb	data/ingredients/mapped/Aminoacids.yaml	active	existing_record_review	major	data/ingredients/mapped/Aminoacids.yaml	open	The local stock-solution fallback identity, occurrence count, SSSOM row, and aggregate pass, but the amino-acid mix still lacks component-level representation.	reports/yaml_record_review/Aminoacids.md
SEM:1e7ed10d33b31c6a0955	data/ingredients/mapped/Beijerincks_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Beijerincks_Solution.yaml	open	The kgmicrobe.ingredient fallback mapping is correct for this stock solution, but component-level recipe curation is still pending.	reports/yaml_record_review/Beijerincks_Solution.md
SEM:acffe8b7ce8f62aae4e3	data/ingredients/mapped/Brain_Heart_Infusion_Broth.yaml	active	existing_record_review	minor	data/ingredients/mapped/Brain_Heart_Infusion_Broth.yaml	open	The MICRO brain heart infusion mapping, FDA component assertion, occurrence count, SSSOM row, and aggregate copy pass, but top-level notes are stale.	reports/yaml_record_review/Brain_Heart_Infusion_Broth.md
SEM:5840ee1537d3efca2b71	data/ingredients/mapped/CMC_PY_Horse_Serum.yaml	active	existing_record_review	minor	data/ingredients/mapped/CMC_PY_Horse_Serum.yaml	open	The fallback identity, four curated component assertions, SSSOM row, and aggregate copy pass, but notes are stale.	reports/yaml_record_review/CMC_PY_Horse_Serum.md
