finding_id	source_record	record_scope	kind	severity	affected_unit	disposition	reason	evidence
SEM:0e49eb925791f642813d	data/ingredients/mapped/(-)-anisomycin.yaml	active	existing_record_review	minor	data/ingredients/mapped/(-)-anisomycin.yaml	open	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.	reports/yaml_record_review/(-)-anisomycin.md
SEM:7e36d71b348836ecccec	data/ingredients/mapped/(-)-quinic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(-)-quinic_Acid.yaml	open	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.	reports/yaml_record_review/(-)-quinic_Acid.md
SEM:cd74f8ddafa04d7e9a9a	data/ingredients/mapped/(2)-D-lyxose.yaml	active	existing_record_review	major	data/ingredients/mapped/(2)-D-lyxose.yaml	open	Active identity passes, but source_occurrences appears to omit the direct microbedecoder D-lyxose row with count 159.	reports/yaml_record_review/(2)-D-lyxose.md
SEM:c4aa94f8cc2420c04b3c	data/ingredients/mapped/(R)-amygdalin.yaml	active	existing_record_review	minor	data/ingredients/mapped/(R)-amygdalin.yaml	open	Record identity and synchronized products pass; curation timestamp/reporting nits remain.	reports/yaml_record_review/(R)-amygdalin.md
SEM:c34d7b8854b455ca38bf	data/ingredients/mapped/(R)-lactate.yaml	active	existing_record_review	major	data/ingredients/mapped/(R)-lactate.yaml	open	Active identity passes, but source_occurrences appears to omit the absorbed D-lactate row with count 17.	reports/yaml_record_review/(R)-lactate.md
SEM:b1740e477e1ac6c163b4	data/ingredients/mapped/(R)-malic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(R)-malic_Acid.yaml	open	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.	reports/yaml_record_review/(R)-malic_Acid.md
SEM:eb55833288c00d2fd411	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	open	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.	reports/yaml_record_review/(S)-azetidine-2-carboxylic_Acid.md
SEM:0252332dafddeea4d62a	data/ingredients/mapped/(S)-mandelic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/(S)-mandelic_Acid.yaml	open	Record identity and synchronized products pass; stale validation rows remain.	reports/yaml_record_review/(S)-mandelic_Acid.md
SEM:2aea231c7d6192be09fe	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	active	existing_record_review	major	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	open	Minted stock-solution identity is synchronized, but pure-compound synonyms, chemistry, ingredient_type, and kg_microbe_node_id remain stale.	reports/yaml_record_review/02_Thiamine_Pyrophosphate.md
SEM:6560d5e8cbc982dcbd1d	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	active	existing_record_review	blocker	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	open	0.5 M disodium stock label is exactly mapped to a trisodium ChEBI salt and publishes trisodium synonyms/chemistry.	reports/yaml_record_review/05_M_Nitrilotriacetic_Acid_Disodium_Salt.md
