source_record	identifier	synonym_position	token	before_type	after_type	source	reason
data/ingredients/mapped/3-O-methylgallate.yaml	CHEBI:28647	1	reduction: 3-O-methylgallate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A reduction or detoxification activity relates a process to its substrate; the complete phrase is not a compound name.
data/ingredients/mapped/4-nitrophenyl_Beta-D-galactopyranoside.yaml	CHEBI:355715	1	degradation: 4-nitrophenyl beta-D-galactopyranoside	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A degradation activity describes a process involving the named material; the complete phrase is not a material name.
data/ingredients/mapped/4-nitrophenyl_Beta-D-galactopyranoside.yaml	CHEBI:355715	2	hydrolysis: 4-nitrophenyl beta-D-galactopyranoside	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A hydrolysis assay/activity describes cleavage of the named substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Acetate.yaml	CHEBI:30089	9	aerobic catabolization: acetate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An aerobic catabolism annotation describes conditional metabolism of a substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Acetate.yaml	CHEBI:30089	10	anaerobic catabolization: acetate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An anaerobic catabolism annotation describes conditional metabolism of a substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Actinomycin_A.yaml	kgmicrobe.compound:actinomycin_a	0	produces: actinomycin A	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Alanosine.yaml	CHEBI:221124	1	produces: alanosine	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Angustmycin.yaml	CHEBI:8612	1	produces: angustmycin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Aromatic_Compound.yaml	CHEBI:33655	2	degradation: aromatic compound	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A degradation activity describes a process involving the named material; the complete phrase is not a material name.
data/ingredients/mapped/Arsenate.yaml	CHEBI:29125	4	reduction: arsenate detoxification	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A reduction or detoxification activity relates a process to its substrate; the complete phrase is not a compound name.
