path	verdict	severity	reviewed_at	report	notes
data/ingredients/mapped/(-)-anisomycin.yaml	pass_with_minor_issues	minor	2026-09-16T04:43:00Z	reports/yaml_record_review/(-)-anisomycin.md	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.
data/ingredients/mapped/(-)-quinic_Acid.yaml	pass_with_minor_issues	minor	2026-09-16T04:44:23Z	reports/yaml_record_review/(-)-quinic_Acid.md	Record identity and synchronized products pass; stale record_research_validation rows should be cleared if that TSV is a live queue.
data/ingredients/mapped/(2)-D-lyxose.yaml	needs_curation	major	2026-09-16T04:46:10Z	reports/yaml_record_review/(2)-D-lyxose.md	Active identity passes, but source_occurrences appears to omit the direct microbedecoder D-lyxose row with count 159.
data/ingredients/mapped/(R)-amygdalin.yaml	pass_with_minor_issues	minor	2026-09-16T04:47:27Z	reports/yaml_record_review/(R)-amygdalin.md	Record identity and synchronized products pass; curation timestamp/reporting nits remain.
data/ingredients/mapped/(R)-lactate.yaml	needs_curation	major	2026-09-16T04:48:31Z	reports/yaml_record_review/(R)-lactate.md	Active identity passes, but source_occurrences appears to omit the absorbed D-lactate row with count 17.
data/ingredients/mapped/(R)-malic_Acid.yaml	pass_with_minor_issues	minor	2026-09-16T04:50:14Z	reports/yaml_record_review/(R)-malic_Acid.md	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.
data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	pass_with_minor_issues	minor	2026-09-16T04:52:39Z	reports/yaml_record_review/(S)-azetidine-2-carboxylic_Acid.md	Record identity and synchronized products pass; optional CAS/synonym and stale validation rows remain.
data/ingredients/mapped/(S)-mandelic_Acid.yaml	pass_with_minor_issues	minor	2026-09-16T04:53:59Z	reports/yaml_record_review/(S)-mandelic_Acid.md	Record identity and synchronized products pass; stale validation rows remain.
data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	needs_curation	major	2026-09-16T04:56:41Z	reports/yaml_record_review/02_Thiamine_Pyrophosphate.md	Minted stock-solution identity is synchronized, but pure-compound synonyms, chemistry, ingredient_type, and kg_microbe_node_id remain stale.
data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	needs_curation	blocker	2026-09-16T04:58:18Z	reports/yaml_record_review/05_M_Nitrilotriacetic_Acid_Disodium_Salt.md	0.5 M disodium stock label is exactly mapped to a trisodium ChEBI salt and publishes trisodium synonyms/chemistry.
data/ingredients/mapped/1-Kestose.yaml	needs_curation	minor	2026-09-16T05:01:24Z	reports/yaml_record_review/1-Kestose.md	Active ChEBI identity and exported products pass, but an open kgscan discussion is mostly irrelevant and unattached.
data/ingredients/mapped/1-Pentanol.yaml	needs_curation	minor	2026-09-16T05:02:57Z	reports/yaml_record_review/1-Pentanol.md	Active CAS-derived ChEBI identity and exported products pass, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	needs_curation	minor	2026-09-16T05:07:01Z	reports/yaml_record_review/1-aminocyclopropane-1-carboxylate.md	CAS-grounded ChEBI identity and exported products pass, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1-butanolCO2.yaml	needs_curation	minor	2026-09-16T05:07:02Z	reports/yaml_record_review/1-butanolCO2.md	Decomposition to local fallback with butan-1-ol and carbon dioxide components passes, but current notes still contain stale pre-resolution text.
data/ingredients/mapped/1-chlorobutane.yaml	pass_with_minor_issues	minor	2026-09-16T05:09:21Z	reports/yaml_record_review/1-chlorobutane.md	Active high-number ChEBI identity and exported products pass; stale validation rows and optional CAS/synonym enrichment remain.
data/ingredients/mapped/1-chloropropane.yaml	pass_with_minor_issues	minor	2026-09-16T05:09:22Z	reports/yaml_record_review/1-chloropropane.md	Active high-number ChEBI identity, n-propyl chloride synonym, and exported products pass; stale validation rows and optional CAS enrichment remain.
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	needs_curation	minor	2026-09-16T05:09:23Z	reports/yaml_record_review/1-ethyl-3-methylimidazolium_Acetate.md	CAS-primary salt identity and narrow cation mapping pass, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Chloride.yaml	pass	none	2026-09-16T05:12:28Z	reports/yaml_record_review/1-ethyl-3-methylimidazolium_Chloride.md	Active ChEBI salt identity, exact synonym, CAS/formula/InChI/SMILES, SSSOM, aggregate, and docs pass.
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	needs_curation	minor	2026-09-16T05:12:29Z	reports/yaml_record_review/1-ethyl-3-methylimidazolium_Lysine.md	Active local salt identity and narrow CHEBI:63895 parent pass, but the top-level notes still describe the pre-repair unmapped state.
data/ingredients/mapped/1-methylphenanthrene.yaml	pass_with_minor_issues	minor	2026-09-16T05:12:30Z	reports/yaml_record_review/1-methylphenanthrene.md	Active CHEBI identity and synchronized products pass; optional CAS, stale validation rows, and a timestamp-ordering nit remain.
data/ingredients/mapped/1-naphtylacetic_Acid.yaml	needs_curation	minor	2026-09-16T05:15:39Z	reports/yaml_record_review/1-naphtylacetic_Acid.md	Active CHEBI identity, typo preservation, and chemistry pass, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1-o-methyl_Alpha-galactopyranoside.yaml	needs_curation	minor	2026-09-16T05:15:40Z	reports/yaml_record_review/1-o-methyl_Alpha-galactopyranoside.md	Active CHEBI identity and chemistry pass, but top-level notes still describe the pre-promotion unmapped state.
data/ingredients/mapped/1-octen-3-ol.yaml	needs_curation	minor	2026-09-16T05:15:41Z	reports/yaml_record_review/1-octen-3-ol.md	Active CAS-grounded CHEBI identity passes, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1-phenazinecarboxamide.yaml	pass_with_minor_issues	minor	2026-09-16T05:15:42Z	reports/yaml_record_review/1-phenazinecarboxamide.md	Active CAS-grounded CHEBI identity and synchronized products pass; only optional PCN synonym enrichment remains.
data/ingredients/mapped/1-propanolCO2.yaml	needs_curation	minor	2026-09-16T05:15:43Z	reports/yaml_record_review/1-propanolCO2.md	Local fallback identity and propan-1-ol/carbon dioxide decomposition pass, but notes still describe the older unresolved split state.
data/ingredients/mapped/11-Biphenyl-2-ol.yaml	needs_curation	minor	2026-09-16T05:17:57Z	reports/yaml_record_review/11-Biphenyl-2-ol.md	Active CHEBI identity and CultureMech provenance pass, but ChEBI-backed ingredient_type and chemistry are still missing.
data/ingredients/mapped/112-trichloroethane.yaml	needs_curation	minor	2026-09-16T05:17:58Z	reports/yaml_record_review/112-trichloroethane.md	Active CHEBI identity and structure pass, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/1122-Tetrachloroethane.yaml	needs_curation	blocker	2026-09-16T05:17:59Z	reports/yaml_record_review/1122-Tetrachloroethane.md	2-tetrachloroethane is ambiguous between CHEBI:34024 and CHEBI:36026, but the record publishes an unsupported exact CHEBI:36026 identity.
data/ingredients/mapped/12-Propanediol.yaml	needs_curation	minor	2026-09-16T05:18:00Z	reports/yaml_record_review/12-Propanediol.md	Active CAS-grounded CHEBI identity passes, but the open kgscan discussion is irrelevant and unattached.
data/ingredients/mapped/12-dichloropropane.yaml	pass_with_minor_issues	minor	2026-09-16T05:18:01Z	reports/yaml_record_review/12-dichloropropane.md	Active CAS-specific racemate identity passes; only stale advisory rows still mention the old generic CHEBI:142468 target.
data/ingredients/mapped/13-Butandiol.yaml	pass_with_minor_issues	minor	2026-09-16T05:20:31Z	reports/yaml_record_review/13-Butandiol.md	Active CHEBI identity and synchronized products pass; only stale advisory rows still mention the older German preferred label state.
data/ingredients/mapped/13-Hexanediol.yaml	pass	none	2026-09-16T05:20:32Z	reports/yaml_record_review/13-Hexanediol.md	CAS-backed local fallback identity, PubChem chemistry, SSSOM, aggregate, and docs pass.
data/ingredients/mapped/13-Propanediol.yaml	pass	none	2026-09-16T05:20:33Z	reports/yaml_record_review/13-Propanediol.md	Active CAS-grounded CHEBI identity, raw synonym handling, chemistry, SSSOM, aggregate, and docs pass.
data/ingredients/mapped/14-B-D-Galactobiose.yaml	needs_curation	major	2026-09-16T05:20:34Z	reports/yaml_record_review/14-B-D-Galactobiose.md	Active CHEBI identity passes, but CARBON_SOURCE is asserted from only a provisional name-pattern prediction.
data/ingredients/mapped/14-Butanediol.yaml	needs_curation	major	2026-09-16T05:20:35Z	reports/yaml_record_review/14-Butanediol.md	Active CHEBI identity passes, but parse fragments Butane-1 and 4-diol still leak into active exact labels.
